Thu Dec 15 07:53:36 2022    profile.txt

         11580236 function calls (9311084 primitive calls) in 17.237 seconds

   Ordered by: internal time
   List reduced from 568 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9330    4.282    0.000    4.476    0.000 {method 'to' of 'torch._C._TensorBase' objects}
3100/1550    2.754    0.001    3.233    0.002 {built-in method torch.conv2d}
     1570    2.371    0.002    2.371    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
     1550    1.957    0.001    1.957    0.001 {method 'normal_' of 'torch._C._TensorBase' objects}
       12    1.444    0.120    1.444    0.120 {built-in method torch._C._cuda_getDeviceCount}
3762505/2182135    0.448    0.000    1.341    0.000 {built-in method builtins.isinstance}
473580/76440    0.380    0.000    1.866    0.000 /home/mert-kurttutan/projects/torchview/torchview/recorder_tensor.py:260(reduce_data_info)
   770910    0.268    0.000    0.744    0.000 /home/mert-kurttutan/miniconda3/envs/pytorch-env/lib/python3.10/typing.py:1130(__subclasscheck__)
   770910    0.217    0.000    0.962    0.000 /home/mert-kurttutan/miniconda3/envs/pytorch-env/lib/python3.10/typing.py:975(__instancecheck__)
        1    0.167    0.167    0.193    0.193 /home/mert-kurttutan/miniconda3/envs/pytorch-env/lib/python3.10/site-packages/torch/cuda/__init__.py:490(_raw_device_count_nvml)
   812350    0.166    0.000    0.386    0.000 {built-in method builtins.issubclass}
38350/22400    0.134    0.000    4.967    0.000 /home/mert-kurttutan/projects/torchview/torchview/recorder_tensor.py:190(__torch_function__)
771140/770911    0.113    0.000    0.220    0.000 /home/mert-kurttutan/miniconda3/envs/pytorch-env/lib/python3.10/abc.py:121(__subclasscheck__)
771140/770911    0.107    0.000    0.107    0.000 {built-in method _abc._abc_subclasscheck}
164760/38340    0.099    0.000    0.195    0.000 /home/mert-kurttutan/miniconda3/envs/pytorch-env/lib/python3.10/site-packages/torch/_tensor.py:1358(_convert)
  4230/10    0.098    0.000    2.657    0.266 /home/mert-kurttutan/miniconda3/envs/pytorch-env/lib/python3.10/site-packages/torch/nn/modules/module.py:637(_apply)
